season,week,team1,team2,team1_score,team2_score,winner,playoff,manager1,manager2,winning_manager
2019,1,100Yards,Yungsauvages,117.88,173.36,Yungsauvages,False,Daniel,Nic,Nic
2019,1,Hide N Zeke,King Juju,196.32,125.06,Hide N Zeke,False,William,Justin,William
2019,1,Royalfam,9Er G4Ng,139.92,72.44,Royalfam,False,Hayden,Phoenix,Hayden
2019,1,Creampies,Jimmy Gspot,114.7,76.86,Creampies,False,Fraser,Robbie,Fraser
2019,1,Bad Newz Kennels,Slippery Gypsies,130.02,135.3,Slippery Gypsies,False,Angus,Michael,Michael
2019,2,Captain Falcon,Slippery Gypsies,137.46,103.0,Captain Falcon,False,Billy,Michael,Billy
2019,2,Bad Newz Kennels,Creampies,120.02,135.46,Creampies,False,Angus,Fraser,Fraser
2019,2,9Er G4Ng,Jimmy Gspot,102.42,118.46,Jimmy Gspot,False,Phoenix,Robbie,Robbie
2019,2,100Yards,King Juju,111.82,93.26,100Yards,False,Daniel,Justin,Daniel
2019,2,Yungsauvages,Hide N Zeke,123.48,106.56,Yungsauvages,False,Nic,William,Nic
2019,3,Yungsauvages,Royalfam,141.08,138.06,Yungsauvages,False,Nic,Hayden,Nic
2019,3,9Er G4Ng,100Yards,92.38,75.64,9Er G4Ng,False,Phoenix,Daniel,Phoenix
2019,3,Creampies,Slippery Gypsies,104.64,141.42,Slippery Gypsies,False,Fraser,Michael,Michael
2019,3,Captain Falcon,Hide N Zeke,100.8,131.84,Hide N Zeke,False,Billy,William,William
2019,3,Jimmy Gspot,Bad Newz Kennels,122.62,139.76,Bad Newz Kennels,False,Robbie,Angus,Angus
2019,4,9Er G4Ng,Hide N Zeke,104.4,78.7,9Er G4Ng,False,Phoenix,William,Phoenix
2019,4,Royalfam,Jimmy Gspot,96.2,86.98,Royalfam,False,Hayden,Robbie,Hayden
2019,4,Slippery Gypsies,Yungsauvages,113.9,135.48,Yungsauvages,False,Michael,Nic,Nic
2019,4,King Juju,Creampies,111.5,126.22,Creampies,False,Justin,Fraser,Fraser
2019,4,Game Of Jones,100Yards,93.18,117.0,100Yards,False,Nelson,Daniel,Daniel
2019,5,9Er G4Ng,Bad Newz Kennels,110.14,128.64,Bad Newz Kennels,False,Phoenix,Angus,Angus
2019,5,Yungsauvages,Creampies,95.16,153.02,Creampies,False,Nic,Fraser,Fraser
2019,5,Hide N Zeke,Slippery Gypsies,113.94,162.32,Slippery Gypsies,False,William,Michael,Michael
2019,5,100Yards,Captain Falcon,98.02,190.92,Captain Falcon,False,Daniel,Billy,Billy
2019,5,Royalfam,King Juju,150.86,148.52,Royalfam,False,Hayden,Justin,Hayden
2019,6,Yungsauvages,King Juju,81.74,154.06,King Juju,False,Nic,Justin,Justin
2019,6,Creampies,Game Of Jones,117.84,101.12,Creampies,False,Fraser,Nelson,Fraser
2019,6,9Er G4Ng,Slippery Gypsies,100.52,103.4,Slippery Gypsies,False,Phoenix,Michael,Michael
2019,6,Royalfam,Captain Falcon,119.04,80.22,Royalfam,False,Hayden,Billy,Hayden
2019,6,Bad Newz Kennels,100Yards,118.02,142.0,100Yards,False,Angus,Daniel,Daniel
