manager,opponent,wins,losses,games,win_pct,avg_points_for,avg_points_against,total_points_for,total_points_against
William,Justin,8,5,13,61.53846153846154,116.48153846153846,109.97846153846154,1514.26,1429.72
William,Nic,5,5,10,50.0,114.24000000000001,109.78600000000002,1142.4,1097.8600000000001
William,Billy,8,5,13,61.53846153846154,112.30461538461539,117.42769230769233,1459.96,1526.5600000000002
William,Phoenix,8,2,10,80.0,119.09199999999998,101.848,1190.9199999999998,1018.48
William,Michael,5,8,13,38.46153846153847,98.3876923076923,103.91538461538462,1279.04,1350.9
William,Fraser,2,6,8,25.0,99.13499999999999,107.5075,793.0799999999999,860.06
William,Hayden,4,5,9,44.44444444444444,116.89999999999999,114.60000000000001,1052.1,1031.4
William,Angus,5,4,9,55.55555555555556,110.31777777777778,99.80000000000001,992.86,898.2000000000002
William,Nelson,4,4,8,50.0,102.5925,103.20249999999999,820.74,825.6199999999999
William,Robbie,5,8,13,38.46153846153847,108.74153846153845,113.30307692307692,1413.6399999999999,1472.9399999999998
William,James,3,5,8,37.5,114.50999999999999,128.885,916.0799999999999,1031.08
Justin,William,5,8,13,38.46153846153847,109.97846153846154,116.48153846153846,1429.72,1514.26
Justin,Fraser,5,4,9,55.55555555555556,114.67777777777776,107.8488888888889,1032.1,970.6400000000001
Justin,Hayden,5,4,9,55.55555555555556,122.54444444444445,119.82666666666665,1102.9,1078.4399999999998
Justin,Nic,3,6,9,33.33333333333333,112.25999999999999,120.12666666666668,1010.3399999999999,1081.14
Justin,Robbie,7,5,12,58.333333333333336,120.13499999999999,115.67833333333334,1441.62,1388.14
Justin,Michael,4,7,11,36.36363636363637,110.4727272727273,118.94181818181818,1215.2000000000003,1308.36
Justin,Billy,6,3,9,66.66666666666666,114.26444444444444,110.82444444444445,1028.3799999999999,997.4200000000001
Justin,Angus,5,8,13,38.46153846153847,108.45692307692308,115.08307692307692,1409.94,1496.08
Justin,Phoenix,9,4,13,69.23076923076923,110.74615384615385,100.29076923076924,1439.7,1303.7800000000002
Justin,Nelson,6,4,10,60.0,106.1,108.282,1061.0,1082.82
Justin,James,4,3,7,57.14285714285714,119.38000000000001,117.06285714285715,835.6600000000001,819.44
Hayden,Phoenix,6,6,12,50.0,120.75833333333333,113.32666666666667,1449.1,1359.92
Hayden,Nic,3,7,10,30.0,107.73800000000001,120.10400000000001,1077.38,1201.0400000000002
Hayden,Robbie,9,1,10,90.0,124.47999999999999,105.234,1244.8,1052.34
Hayden,Justin,4,5,9,44.44444444444444,119.82666666666665,122.54444444444445,1078.4399999999998,1102.9
Hayden,Billy,5,6,11,45.45454545454545,109.4781818181818,109.54181818181819,1204.2599999999998,1204.96
Hayden,Angus,7,2,9,77.77777777777779,120.26666666666668,104.50444444444445,1082.4,940.54
Hayden,Michael,4,5,9,44.44444444444444,112.42222222222225,115.1711111111111,1011.8000000000002,1036.54
Hayden,William,5,4,9,55.55555555555556,114.60000000000001,116.89999999999999,1031.4,1052.1
Hayden,Fraser,6,4,10,60.0,129.98600000000002,118.29,1299.8600000000001,1182.9
Hayden,James,5,2,7,71.42857142857143,126.53428571428572,105.86,885.74,741.02
Hayden,Nelson,5,5,10,50.0,116.77200000000002,111.17800000000003,1167.7200000000003,1111.7800000000002
